 0.000000 , 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000 
 0.166667 , 0.778569 
 0.333333 , 0.859977 
 0.500000 , 0.995330 
 0.666667 , 1.187648 
 0.833333 , 1.434275 
 1.000000 , 1.724515 
 1.166667 , 2.043941 
 1.333333 , 2.379988 
 1.500000 , 2.724138 
 1.666667 , 3.071353 
 1.833333 , 3.418953 
 2.000000 , 3.765561 
 2.166667 , 4.110579 
 2.333333 , 4.256706 
 2.500000 , 3.906275 
 2.666667 , 3.595785 
 2.833333 , 3.318354 
 3.000000 , 3.068681 
 3.166667 , 2.842587 
 3.333333 , 2.636761 
 3.500000 , 2.448569 
 3.666667 , 2.275857 
 3.833333 , 2.116901 
 4.000000 , 1.970303 
 4.166667 , 1.834916 
 4.333333 , 1.709814 
 4.500000 , 1.594242 
 4.666667 , 1.487601 
 4.833333 , 1.389409 
